WorkOrder_ID,Equipment_Tag,Functional_Location,Order_Type,Priority,Description,Reported_Date,Completed_Date,Labor_Hours,Cost_INR,ISO14224_Failure_Mode,Technician_ID,Approval_Status
WO-880131,HX-918,MRPL-HZ-CDU-HX918,PM01,HIGH,Routine inspection and preventive overhaul for HX-918,2024-07-19,2024-07-27,43.6,281611,INS,TECH-104,APPROVED_AND_CLOSED
WO-880132,SV-402,MRPL-HZ-CDU-SV402,PM01,LOW,Routine inspection and preventive overhaul for SV-402,2025-08-19,2025-08-29,10.3,284796,FTC,TECH-121,APPROVED_AND_CLOSED
WO-880133,PT-101,MRPL-HZ-CDU-PT101,PM02,HIGH,Coupling laser alignment and balancing on PT-101,2025-06-16,2025-06-28,61.6,211024,VIB,TECH-111,APPROVED_AND_CLOSED
WO-880134,TT-204,MRPL-HZ-CDU-TT204,PM02,LOW,Routine inspection and preventive overhaul for TT-204,2026-08-11,2026-08-14,14.7,125043,COR,TECH-105,APPROVED_AND_CLOSED
WO-880135,Reactor-B,MRPL-HZ-CDU-ReactorB,PM03,LOW,Routine inspection and preventive overhaul for Reactor-B,2024-06-22,2024-07-05,71.7,407872,INS,TECH-107,APPROVED_AND_CLOSED
WO-880136,P-101A,MRPL-HZ-CDU-P101A,PM01,VERY_HIGH,High bearing temperature remediation on P-101A; lube flush,2024-09-20,2024-10-01,45.1,193920,OHG,TECH-118,APPROVED_AND_CLOSED
WO-880137,Reactor-B,MRPL-HZ-CDU-ReactorB,PM03,VERY_HIGH,Mechanical seal Plan 53B cartridge replacement on Reactor-B,2026-03-29,2026-04-12,56.8,20859,ELU,TECH-118,APPROVED_AND_CLOSED
WO-880138,T-401,MRPL-HZ-CDU-T401,PM03,HIGH,Routine inspection and preventive overhaul for T-401,2024-12-31,2025-01-08,27.5,280848,COR,TECH-122,APPROVED_AND_CLOSED
WO-880139,HX-918,MRPL-HZ-CDU-HX918,PM03,HIGH,Coupling laser alignment and balancing on HX-918,2026-02-01,2026-02-10,38.3,479922,VIB,TECH-112,APPROVED_AND_CLOSED
WO-880140,HX-918,MRPL-HZ-CDU-HX918,PM01,MEDIUM,Routine inspection and preventive overhaul for HX-918,2025-08-17,2025-08-19,20.7,372967,INS,TECH-117,APPROVED_AND_CLOSED
WO-880141,P-101A,MRPL-HZ-CDU-P101A,PM01,HIGH,Mechanical seal Plan 53B cartridge replacement on P-101A,2025-06-17,2025-06-29,8.1,304079,ELU,TECH-116,APPROVED_AND_CLOSED
WO-880142,P-101A,MRPL-HZ-CDU-P101A,PM02,VERY_HIGH,Routine inspection and preventive overhaul for P-101A,2026-08-19,2026-09-02,47.9,91466,FTC,TECH-121,APPROVED_AND_CLOSED
WO-880143,TT-204,MRPL-HZ-CDU-TT204,PM03,LOW,Annual transmitter calibration and span adjustment on TT-204,2024-04-14,2024-04-20,50.5,162593,CAL,TECH-101,APPROVED_AND_CLOSED
WO-880144,TT-204,MRPL-HZ-CDU-TT204,PM03,LOW,Routine inspection and preventive overhaul for TT-204,2026-07-06,2026-07-20,46.1,471426,FTC,TECH-102,APPROVED_AND_CLOSED
WO-880145,HX-918,MRPL-HZ-CDU-HX918,PM02,VERY_HIGH,Coupling laser alignment and balancing on HX-918,2024-06-15,2024-06-21,23.8,395185,VIB,TECH-114,APPROVED_AND_CLOSED
WO-880146,P-101A,MRPL-HZ-CDU-P101A,PM02,VERY_HIGH,Mechanical seal Plan 53B cartridge replacement on P-101A,2024-11-04,2024-11-07,46.8,185757,ELU,TECH-106,APPROVED_AND_CLOSED
WO-880147,K-203,MRPL-HZ-CDU-K203,PM03,LOW,Coupling laser alignment and balancing on K-203,2024-10-25,2024-10-28,31.4,278250,VIB,TECH-105,APPROVED_AND_CLOSED
WO-880148,Reactor-B,MRPL-HZ-CDU-ReactorB,PM02,HIGH,Routine inspection and preventive overhaul for Reactor-B,2026-02-11,2026-02-20,14.6,377589,COR,TECH-119,APPROVED_AND_CLOSED
WO-880149,HX-918,MRPL-HZ-CDU-HX918,PM02,LOW,Routine inspection and preventive overhaul for HX-918,2025-03-18,2025-03-26,14.3,463142,FTC,TECH-116,APPROVED_AND_CLOSED
WO-880150,SV-402,MRPL-HZ-CDU-SV402,PM03,LOW,Routine inspection and preventive overhaul for SV-402,2025-01-26,2025-02-06,68.2,437622,FTC,TECH-118,APPROVED_AND_CLOSED
WO-880151,PT-101,MRPL-HZ-CDU-PT101,PM01,HIGH,High bearing temperature remediation on PT-101; lube flush,2025-03-22,2025-04-01,43.2,271345,OHG,TECH-104,APPROVED_AND_CLOSED
WO-880152,TT-204,MRPL-HZ-CDU-TT204,PM02,HIGH,Routine inspection and preventive overhaul for TT-204,2026-07-08,2026-07-13,30.6,137120,FTC,TECH-109,APPROVED_AND_CLOSED
WO-880153,HX-918,MRPL-HZ-CDU-HX918,PM03,LOW,Routine inspection and preventive overhaul for HX-918,2026-03-15,2026-03-16,52.2,66950,FTC,TECH-103,APPROVED_AND_CLOSED
WO-880154,T-401,MRPL-HZ-CDU-T401,PM03,LOW,Routine inspection and preventive overhaul for T-401,2024-07-23,2024-07-31,34.7,342266,INS,TECH-123,APPROVED_AND_CLOSED
WO-880155,Reactor-B,MRPL-HZ-CDU-ReactorB,PM01,VERY_HIGH,Mechanical seal Plan 53B cartridge replacement on Reactor-B,2025-11-03,2025-11-05,38.8,386400,ELU,TECH-109,APPROVED_AND_CLOSED
WO-880156,TT-204,MRPL-HZ-CDU-TT204,PM01,MEDIUM,Routine inspection and preventive overhaul for TT-204,2025-12-24,2026-01-04,32.5,116378,FTC,TECH-119,APPROVED_AND_CLOSED
WO-880157,SV-402,MRPL-HZ-CDU-SV402,PM01,MEDIUM,Annual transmitter calibration and span adjustment on SV-402,2024-10-18,2024-10-22,65.5,269155,CAL,TECH-113,APPROVED_AND_CLOSED
WO-880158,SV-402,MRPL-HZ-CDU-SV402,PM01,VERY_HIGH,Routine inspection and preventive overhaul for SV-402,2024-05-05,2024-05-06,61.5,241025,COR,TECH-112,APPROVED_AND_CLOSED
WO-880159,SV-402,MRPL-HZ-CDU-SV402,PM01,MEDIUM,Routine inspection and preventive overhaul for SV-402,2026-07-08,2026-07-18,4.5,313916,INS,TECH-116,APPROVED_AND_CLOSED
WO-880160,TT-204,MRPL-HZ-CDU-TT204,PM02,LOW,Routine inspection and preventive overhaul for TT-204,2026-06-13,2026-06-23,59.3,251956,FTC,TECH-108,APPROVED_AND_CLOSED
WO-880161,SV-402,MRPL-HZ-CDU-SV402,PM01,LOW,Mechanical seal Plan 53B cartridge replacement on SV-402,2025-11-23,2025-12-01,46.5,215530,ELU,TECH-120,APPROVED_AND_CLOSED
WO-880162,K-203,MRPL-HZ-CDU-K203,PM01,HIGH,Coupling laser alignment and balancing on K-203,2025-06-06,2025-06-20,7.6,12948,VIB,TECH-120,APPROVED_AND_CLOSED
WO-880163,SV-402,MRPL-HZ-CDU-SV402,PM03,MEDIUM,High bearing temperature remediation on SV-402; lube flush,2024-03-14,2024-03-27,45.8,193839,OHG,TECH-124,APPROVED_AND_CLOSED
WO-880164,SV-402,MRPL-HZ-CDU-SV402,PM02,MEDIUM,Routine inspection and preventive overhaul for SV-402,2026-07-12,2026-07-16,17.5,422552,FTC,TECH-124,APPROVED_AND_CLOSED
WO-880165,TT-204,MRPL-HZ-CDU-TT204,PM03,MEDIUM,High bearing temperature remediation on TT-204; lube flush,2026-04-01,2026-04-03,42.7,71280,OHG,TECH-114,APPROVED_AND_CLOSED
WO-880166,Reactor-B,MRPL-HZ-CDU-ReactorB,PM02,LOW,Annual transmitter calibration and span adjustment on Reactor-B,2025-05-26,2025-06-03,34.8,65623,CAL,TECH-103,APPROVED_AND_CLOSED
WO-880167,PT-101,MRPL-HZ-CDU-PT101,PM01,MEDIUM,Routine inspection and preventive overhaul for PT-101,2024-10-03,2024-10-06,20.9,291181,FTC,TECH-107,APPROVED_AND_CLOSED
WO-880168,PT-101,MRPL-HZ-CDU-PT101,PM03,VERY_HIGH,Routine inspection and preventive overhaul for PT-101,2024-02-26,2024-02-27,9.2,338684,INS,TECH-115,APPROVED_AND_CLOSED
WO-880169,P-101B,MRPL-HZ-CDU-P101B,PM02,HIGH,Routine inspection and preventive overhaul for P-101B,2026-07-14,2026-07-16,30.1,312910,FTC,TECH-121,APPROVED_AND_CLOSED
WO-880170,SV-402,MRPL-HZ-CDU-SV402,PM03,LOW,Annual transmitter calibration and span adjustment on SV-402,2025-11-24,2025-12-02,67.6,32138,CAL,TECH-120,APPROVED_AND_CLOSED
WO-880171,HX-918,MRPL-HZ-CDU-HX918,PM02,HIGH,High bearing temperature remediation on HX-918; lube flush,2025-01-29,2025-02-12,49.8,428363,OHG,TECH-112,APPROVED_AND_CLOSED
WO-880172,P-101B,MRPL-HZ-CDU-P101B,PM02,HIGH,Mechanical seal Plan 53B cartridge replacement on P-101B,2025-03-16,2025-03-26,25.7,112023,ELU,TECH-107,APPROVED_AND_CLOSED
WO-880173,P-101A,MRPL-HZ-CDU-P101A,PM01,LOW,High bearing temperature remediation on P-101A; lube flush,2025-03-12,2025-03-25,28.9,416740,OHG,TECH-105,APPROVED_AND_CLOSED
WO-880174,Reactor-B,MRPL-HZ-CDU-ReactorB,PM01,VERY_HIGH,Mechanical seal Plan 53B cartridge replacement on Reactor-B,2026-06-27,2026-06-29,68.3,46869,ELU,TECH-108,APPROVED_AND_CLOSED
WO-880175,PT-101,MRPL-HZ-CDU-PT101,PM03,LOW,Mechanical seal Plan 53B cartridge replacement on PT-101,2024-01-23,2024-02-06,69.0,139335,ELU,TECH-113,APPROVED_AND_CLOSED
WO-880176,TT-204,MRPL-HZ-CDU-TT204,PM02,HIGH,High bearing temperature remediation on TT-204; lube flush,2026-08-04,2026-08-18,21.5,446002,OHG,TECH-104,APPROVED_AND_CLOSED
WO-880177,Reactor-B,MRPL-HZ-CDU-ReactorB,PM02,LOW,Mechanical seal Plan 53B cartridge replacement on Reactor-B,2024-02-27,2024-02-29,30.1,253640,ELU,TECH-119,APPROVED_AND_CLOSED
WO-880178,SV-402,MRPL-HZ-CDU-SV402,PM02,MEDIUM,High bearing temperature remediation on SV-402; lube flush,2026-02-19,2026-03-03,35.8,123800,OHG,TECH-102,APPROVED_AND_CLOSED
WO-880179,TT-204,MRPL-HZ-CDU-TT204,PM02,MEDIUM,Mechanical seal Plan 53B cartridge replacement on TT-204,2025-11-12,2025-11-24,45.0,138178,ELU,TECH-113,APPROVED_AND_CLOSED
WO-880180,P-101B,MRPL-HZ-CDU-P101B,PM03,HIGH,Annual transmitter calibration and span adjustment on P-101B,2025-09-02,2025-09-16,25.7,42936,CAL,TECH-111,APPROVED_AND_CLOSED
WO-880181,SV-402,MRPL-HZ-CDU-SV402,PM01,LOW,Coupling laser alignment and balancing on SV-402,2026-01-11,2026-01-20,11.3,59757,VIB,TECH-111,APPROVED_AND_CLOSED
WO-880182,PT-101,MRPL-HZ-CDU-PT101,PM03,VERY_HIGH,Routine inspection and preventive overhaul for PT-101,2024-09-30,2024-10-10,7.6,235996,FTC,TECH-107,APPROVED_AND_CLOSED
WO-880183,PT-101,MRPL-HZ-CDU-PT101,PM01,LOW,Routine inspection and preventive overhaul for PT-101,2024-08-08,2024-08-16,56.3,424875,INS,TECH-106,APPROVED_AND_CLOSED
WO-880184,Reactor-B,MRPL-HZ-CDU-ReactorB,PM03,LOW,Routine inspection and preventive overhaul for Reactor-B,2026-03-24,2026-03-25,67.2,358356,FTC,TECH-115,APPROVED_AND_CLOSED
WO-880185,HX-918,MRPL-HZ-CDU-HX918,PM02,LOW,Routine inspection and preventive overhaul for HX-918,2024-12-12,2024-12-22,65.8,173344,INS,TECH-125,APPROVED_AND_CLOSED
WO-880186,K-203,MRPL-HZ-CDU-K203,PM01,LOW,Routine inspection and preventive overhaul for K-203,2026-04-09,2026-04-10,67.6,174592,COR,TECH-101,APPROVED_AND_CLOSED
WO-880187,PT-101,MRPL-HZ-CDU-PT101,PM01,LOW,Coupling laser alignment and balancing on PT-101,2024-01-29,2024-02-06,32.3,438297,VIB,TECH-124,APPROVED_AND_CLOSED
WO-880188,TT-204,MRPL-HZ-CDU-TT204,PM03,VERY_HIGH,Routine inspection and preventive overhaul for TT-204,2025-09-24,2025-10-01,10.9,211412,COR,TECH-103,APPROVED_AND_CLOSED
WO-880189,K-203,MRPL-HZ-CDU-K203,PM03,HIGH,Routine inspection and preventive overhaul for K-203,2025-09-26,2025-10-06,69.3,209067,INS,TECH-120,APPROVED_AND_CLOSED
WO-880190,P-101B,MRPL-HZ-CDU-P101B,PM01,VERY_HIGH,Mechanical seal Plan 53B cartridge replacement on P-101B,2026-04-09,2026-04-21,71.8,83088,ELU,TECH-118,APPROVED_AND_CLOSED
WO-880191,P-101B,MRPL-HZ-CDU-P101B,PM03,MEDIUM,Routine inspection and preventive overhaul for P-101B,2025-10-06,2025-10-10,28.6,243505,FTC,TECH-105,APPROVED_AND_CLOSED
WO-880192,P-101B,MRPL-HZ-CDU-P101B,PM02,MEDIUM,Coupling laser alignment and balancing on P-101B,2025-11-12,2025-11-25,12.9,99469,VIB,TECH-116,APPROVED_AND_CLOSED
WO-880193,T-401,MRPL-HZ-CDU-T401,PM03,MEDIUM,Coupling laser alignment and balancing on T-401,2026-01-25,2026-02-02,50.4,278300,VIB,TECH-113,APPROVED_AND_CLOSED
WO-880194,Reactor-B,MRPL-HZ-CDU-ReactorB,PM02,HIGH,High bearing temperature remediation on Reactor-B; lube flush,2025-11-20,2025-12-02,34.7,44972,OHG,TECH-103,APPROVED_AND_CLOSED
WO-880195,P-101A,MRPL-HZ-CDU-P101A,PM01,MEDIUM,Mechanical seal Plan 53B cartridge replacement on P-101A,2024-05-07,2024-05-17,11.1,477918,ELU,TECH-107,APPROVED_AND_CLOSED
WO-880196,P-101A,MRPL-HZ-CDU-P101A,PM01,VERY_HIGH,Routine inspection and preventive overhaul for P-101A,2026-07-26,2026-08-02,65.9,289891,INS,TECH-119,APPROVED_AND_CLOSED
WO-880197,Reactor-B,MRPL-HZ-CDU-ReactorB,PM01,VERY_HIGH,Mechanical seal Plan 53B cartridge replacement on Reactor-B,2025-11-07,2025-11-14,15.9,294208,ELU,TECH-113,APPROVED_AND_CLOSED
WO-880198,TT-204,MRPL-HZ-CDU-TT204,PM01,VERY_HIGH,Mechanical seal Plan 53B cartridge replacement on TT-204,2025-05-29,2025-06-02,9.4,420793,ELU,TECH-105,APPROVED_AND_CLOSED
WO-880199,Reactor-B,MRPL-HZ-CDU-ReactorB,PM01,LOW,Routine inspection and preventive overhaul for Reactor-B,2026-06-15,2026-06-17,57.6,464670,COR,TECH-123,APPROVED_AND_CLOSED
WO-880200,P-101A,MRPL-HZ-CDU-P101A,PM01,LOW,Routine inspection and preventive overhaul for P-101A,2025-04-11,2025-04-22,18.3,109303,FTC,TECH-119,APPROVED_AND_CLOSED
